"datid","datname","pid","leader_pid","usesysid","usename","application_name","client_addr","client_hostname","client_port","backend_start","xact_start","query_start","state_change","wait_event_type","wait_event","state","backend_xid","backend_xmin","query_id","query","backend_type"
NULL,NULL,14292,NULL,NULL,NULL,"",NULL,NULL,NULL,"2024-06-24 16:24:10.852776+05:45",NULL,NULL,NULL,"Activity","AutoVacuumMain",NULL,NULL,NULL,NULL,"","autovacuum launcher"
NULL,NULL,14300,NULL,10,"postgres","",NULL,NULL,NULL,"2024-06-24 16:24:10.855075+05:45",NULL,NULL,NULL,"Activity","LogicalLauncherMain",NULL,NULL,NULL,NULL,"","logical replication launcher"
5,"postgres",23956,NULL,10,"postgres","pgAdmin 4 - DB:postgres","::1",NULL,64233,"2024-06-25 15:47:20.969334+05:45",NULL,"2024-06-25 16:45:14.329262+05:45","2024-06-25 16:45:14.329514+05:45","Client","ClientRead","idle",NULL,NULL,NULL,"
SELECT
    db.oid as did, db.datname, db.datallowconn,
    pg_catalog.pg_encoding_to_char(db.encoding) AS serverencoding,
    pg_catalog.has_database_privilege(db.oid, 'CREATE') as cancreate,
    datistemplate
FROM
    pg_catalog.pg_database db
WHERE db.oid = 42627","client backend"
16398,"POS",7432,NULL,10,"postgres","pgAdmin 4 - DB:POS","::1",NULL,64860,"2024-06-25 16:21:17.134468+05:45",NULL,"2024-06-25 16:21:17.342249+05:45","2024-06-25 16:21:17.344634+05:45","Client","ClientRead","idle",NULL,NULL,NULL,"
            SELECT COUNT(*) FROM pg_extension WHERE extname IN (
                'edb_job_scheduler', 'dbms_scheduler') ","client backend"
42627,"TFN",19252,NULL,10,"postgres","pgAdmin 4 - DB:TFN","::1",NULL,64889,"2024-06-25 16:21:58.642896+05:45",NULL,"2024-06-25 16:45:14.330701+05:45","2024-06-25 16:45:14.333343+05:45","Client","ClientRead","idle",NULL,NULL,NULL,"SELECT oid, sub.subname AS name FROM pg_catalog.pg_subscription sub
WHERE
    sub.subdbid = 42627
","client backend"
42627,"TFN",26616,NULL,42626,"admin","","::1",NULL,49360,"2024-06-25 16:43:57.978858+05:45",NULL,"2024-06-25 16:43:58.011099+05:45","2024-06-25 16:43:58.012512+05:45","Client","ClientRead","idle",NULL,NULL,NULL,"SELECT ""django_migrations"".""id"", ""django_migrations"".""app"", ""django_migrations"".""name"", ""django_migrations"".""applied"" FROM ""django_migrations""","client backend"
42986,"tfn",1632,NULL,10,"postgres","pgAdmin 4 - DB:tfn","::1",NULL,49288,"2024-06-25 16:40:48.041963+05:45",NULL,"2024-06-25 16:40:48.152426+05:45","2024-06-25 16:40:48.155513+05:45","Client","ClientRead","idle",NULL,NULL,NULL,"SELECT
    db.oid as did, db.datname as name, ta.spcname as spcname, db.datallowconn,
    db.datistemplate AS is_template,
    pg_catalog.has_database_privilege(db.oid, 'CREATE') as cancreate, datdba as owner,
    descr.description
FROM
    pg_catalog.pg_database db
    LEFT OUTER JOIN pg_catalog.pg_tablespace ta ON db.dattablespace = ta.oid
    LEFT OUTER JOIN pg_catalog.pg_shdescription descr ON (
        db.oid=descr.objoid AND descr.classoid='pg_database'::regclass
    )
WHERE db.oid = 42986::OID

ORDER BY datname;","client backend"
42627,"TFN",28512,NULL,10,"postgres","pgAdmin 4 - DB:tfn","::1",NULL,49487,"2024-06-25 16:49:23.602296+05:45",NULL,"2024-06-25 16:49:26.228523+05:45","2024-06-25 16:49:26.232078+05:45","Client","ClientRead","idle",NULL,NULL,NULL,"SELECT * FROM pg_stat_activity;","client backend"
42627,"TFN",25928,NULL,10,"postgres","pgAdmin 4 - CONN:1811891","::1",NULL,49505,"2024-06-25 16:50:19.572661+05:45","2024-06-25 16:50:27.257056+05:45","2024-06-25 16:50:27.257056+05:45","2024-06-25 16:50:27.25706+05:45",NULL,NULL,"active",NULL,"4054",NULL,"SELECT * FROM pg_stat_activity;","client backend"
NULL,NULL,13316,NULL,NULL,NULL,"",NULL,NULL,NULL,"2024-06-24 16:24:10.313525+05:45",NULL,NULL,NULL,"Activity","BgWriterHibernate",NULL,NULL,NULL,NULL,"","background writer"
NULL,NULL,12424,NULL,NULL,NULL,"",NULL,NULL,NULL,"2024-06-24 16:24:10.331958+05:45",NULL,NULL,NULL,"Activity","CheckpointerMain",NULL,NULL,NULL,NULL,"","checkpointer"
NULL,NULL,14284,NULL,NULL,NULL,"",NULL,NULL,NULL,"2024-06-24 16:24:10.85095+05:45",NULL,NULL,NULL,"Activity","WalWriterMain",NULL,NULL,NULL,NULL,"","walwriter"
